,ta,U,V,ws,hm,vs,pm
2016-01-10 21:00:00,-2.5,-1.8369701987210294e-16,-1.0,0.1,48.8,21470.0,37.0
2016-01-10 22:00:00,-4.5,-0.8424523970071476,-0.5387707850068629,1.1,70.7,18970.0,47.0
2016-01-10 23:00:00,-3.6,0.6045991148623747,0.7965299180241965,1.0,51.3,23500.0,41.0
2016-01-11 00:00:00,-4.2,0.6573752457940957,0.753563392301638,0.4,57.5,24310.0,45.0
2016-01-11 01:00:00,-5.5,0.0331551783885258,-0.9994502159417574,0.7,71.6,16430.0,47.0
2016-01-11 02:00:00,-4.1,0.0069812602979611,-0.9999756307053947,1.2,49.6,29270.0,35.0
2016-01-11 03:00:00,-4.7,-0.4019477766559603,-0.9156625933395608,0.9,53.0,30710.0,33.0
2016-01-11 04:00:00,-5.0,0.40194777665596,-0.915662593339561,1.0,51.9,30860.0,34.0
2016-01-11 05:00:00,-6.8,-1.8369701987210294e-16,-1.0,0.0,71.1,21710.0,50.0
2016-01-11 06:00:00,-7.7,-1.8369701987210294e-16,-1.0,0.0,84.2,15200.0,53.0
2016-01-11 07:00:00,-7.6,-0.9739759672790516,0.2266513074368552,0.7,84.1,16470.0,53.0
2016-01-11 08:00:00,-7.9,-1.8369701987210294e-16,-1.0,0.0,82.3,14510.0,51.0
2016-01-11 09:00:00,-4.3,-1.8369701987210294e-16,-1.0,0.0,67.5,14150.0,54.0
2016-01-11 10:00:00,-2.0,-0.7858568931754022,-0.6184083953575539,1.7,37.4,24280.0,61.0
2016-01-11 11:00:00,-1.2,0.1062640713362335,-0.9943379441332044,2.2,32.8,25750.0,54.0
2016-01-11 12:00:00,-0.4,-0.7289686274214119,-0.6845471059286884,2.0,26.4,30520.0,55.0
2016-01-11 13:00:00,0.5,0.3040330609254902,-0.9526614812535864,2.9,21.6,32790.0,44.0
2016-01-11 14:00:00,1.6,0.7205511116803308,-0.6934018282758128,3.0,21.3,31460.0,33.0
2016-01-11 15:00:00,0.9,0.6293203910498374,-0.777145961456971,3.7,24.2,28200.0,41.0
2016-01-11 16:00:00,0.5,0.3551069624081372,-0.9348256763960144,3.1,23.3,28870.0,37.0
2016-01-11 17:00:00,-0.9,0.1581580672544839,-0.9874138067509112,2.5,29.0,27590.0,45.0
2016-01-11 18:00:00,-2.9,-0.1114689322063249,-0.9937679191605964,1.3,36.6,24190.0,41.0
2016-01-11 19:00:00,-3.9,-0.1097343110910457,-0.9939609554551796,2.0,41.3,22600.0,47.0
