date,ta,U,V,wd,ws,hm,vs
2016-01-11 08:00:00,-7.9,-1.8369701987210297e-16,-1.0,0.0,0.0,82.3,14510.0
2016-01-11 09:00:00,-4.3,-1.8369701987210297e-16,-1.0,0.0,0.0,67.5,14150.0
2016-01-11 10:00:00,-2.0,-0.7858568931754022,-0.6184083953575539,51.8,1.7,37.4,24280.0
2016-01-11 11:00:00,-1.2,0.10626407133623353,-0.9943379441332044,353.9,2.2,32.8,25750.0
2016-01-11 12:00:00,-0.4,-0.7289686274214119,-0.6845471059286884,46.8,2.0,26.4,30520.0
2016-01-11 13:00:00,0.5,0.30403306092549026,-0.9526614812535864,342.3,2.9,21.6,32790.0
2016-01-11 14:00:00,1.6,0.7205511116803308,-0.6934018282758128,313.9,3.0,21.3,31460.0
2016-01-11 15:00:00,0.9,0.6293203910498374,-0.777145961456971,321.0,3.7,24.2,28200.0
2016-01-11 16:00:00,0.5,0.3551069624081372,-0.9348256763960144,339.2,3.1,23.3,28870.0
2016-01-11 17:00:00,-0.9,0.15815806725448395,-0.9874138067509113,350.9,2.5,29.0,27590.0
2016-01-11 18:00:00,-2.9,-0.11146893220632492,-0.9937679191605964,6.4,1.3,36.6,24190.0
2016-01-11 19:00:00,-3.9,-0.10973431109104571,-0.9939609554551795,6.3,2.0,41.3,22600.0
2016-01-11 20:00:00,-4.8,0.5045276238150195,-0.8633955506067715,329.7,0.8,43.8,24680.0
